Sample in Buffer,Sample in Window,TRIGGER,design_1_i/audio_reader_0_playing,design_1_i/audio_reader_0_finished,design_1_i/audio_reader_0_buzzer,design_1_i/blk_mem_gen_0_douta[7:0],design_1_i/audio_reader_0_address[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
0,0,0,1,0,1,7f,ff
1,1,0,1,0,1,7f,ff
2,2,0,1,0,1,7f,ff
3,3,0,1,0,1,7f,ff
4,4,0,1,0,1,7f,ff
5,5,0,1,0,1,7f,ff
6,6,0,1,0,1,7f,ff
7,7,0,1,0,1,7f,ff
8,8,0,1,0,1,7f,ff
9,9,0,1,0,1,7f,ff
10,10,0,1,0,1,7f,ff
11,11,0,1,0,1,7f,ff
12,12,0,1,0,1,7f,ff
13,13,0,1,0,1,7f,ff
14,14,0,1,0,1,7f,ff
15,15,0,1,0,1,7f,ff
16,16,0,1,0,1,7f,ff
17,17,0,1,0,1,7f,ff
18,18,0,1,0,1,7f,ff
19,19,0,1,0,1,7f,ff
20,20,0,1,0,1,7f,ff
21,21,0,1,0,1,7f,ff
22,22,0,1,0,1,7f,ff
23,23,0,1,0,1,7f,ff
24,24,0,1,0,1,7f,ff
25,25,0,1,0,1,7f,ff
26,26,0,1,0,1,7f,ff
27,27,0,1,0,1,7f,ff
28,28,0,1,0,1,7f,ff
29,29,0,1,0,1,7f,ff
30,30,0,1,0,1,7f,ff
31,31,0,1,0,1,7f,ff
32,32,0,1,0,1,7f,ff
33,33,0,1,0,1,7f,ff
34,34,0,1,0,1,7f,ff
35,35,0,1,0,1,7f,ff
36,36,0,1,0,1,7f,ff
37,37,0,1,0,1,7f,ff
38,38,0,1,0,1,7f,ff
39,39,0,1,0,1,7f,ff
40,40,0,1,0,1,7f,ff
41,41,0,1,0,1,7f,ff
42,42,0,1,0,1,7f,ff
43,43,0,1,0,1,7f,ff
44,44,0,1,0,1,7f,ff
45,45,0,1,0,1,7f,ff
46,46,0,1,0,1,7f,ff
47,47,0,1,0,1,7f,ff
48,48,0,1,0,1,7f,ff
49,49,0,1,0,1,7f,ff
50,50,0,1,0,1,7f,ff
51,51,0,1,0,1,7f,ff
52,52,0,1,0,1,7f,ff
53,53,0,1,0,1,7f,ff
54,54,0,1,0,1,7f,ff
55,55,0,1,0,1,7f,ff
56,56,0,1,0,1,7f,ff
57,57,0,1,0,1,7f,ff
58,58,0,1,0,1,7f,ff
59,59,0,1,0,1,7f,ff
60,60,0,1,0,1,7f,ff
61,61,0,1,0,1,7f,ff
62,62,0,1,0,1,7f,ff
63,63,0,1,0,1,7f,ff
64,64,0,1,0,1,7f,ff
65,65,0,1,0,1,7f,ff
66,66,0,1,0,1,7f,ff
67,67,0,1,0,1,7f,ff
68,68,0,1,0,1,7f,ff
69,69,0,1,0,1,7f,ff
70,70,0,1,0,1,7f,ff
71,71,0,1,0,1,7f,ff
72,72,0,1,0,1,7f,ff
73,73,0,1,0,1,7f,ff
74,74,0,1,0,1,7f,ff
75,75,0,1,0,1,7f,ff
76,76,0,1,0,1,7f,ff
77,77,0,1,0,1,7f,ff
78,78,0,1,0,1,7f,ff
79,79,0,1,0,1,7f,ff
80,80,0,1,0,1,7f,ff
81,81,0,1,0,1,7f,ff
82,82,0,1,0,1,7f,ff
83,83,0,1,0,1,7f,ff
84,84,0,1,0,1,7f,ff
85,85,0,1,0,1,7f,ff
86,86,0,1,0,1,7f,ff
87,87,0,1,0,1,7f,ff
88,88,0,1,0,1,7f,ff
89,89,0,1,0,1,7f,ff
90,90,0,1,0,1,7f,ff
91,91,0,1,0,1,7f,ff
92,92,0,1,0,1,7f,ff
